 ,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1149,0,0,0,0,0,0,0.736,24.99,67.559,588.084,779.454,1096.104,921.59,1328.359,1071.992,948.9,756.587,437.33,182.496,153.165,0,0,0,0
scen1150,0,0,0,0,0,0,1.194,6.897,192.315,495.967,974.23,1004.904,1257.51,1533.502,1129.807,711.066,855.73,445.922,202.007,131.609,0,0,0,0
scen1151,0,0,0,0,0,0,0,22.031,39.656,762.736,693.152,843.626,831.571,958.186,1115.75,1016.999,767.646,413.496,215.803,99.599,0,0,0,0
scen1152,0,0,0,0,0,0,0,8.475,259.699,595.336,1025.097,1044.758,1187.932,911.213,1374.279,876.814,735.963,518.575,156.893,129.012,0,0,0,0
scen1153,0,0,0,0,0,0,0,21.328,58.566,481.347,1262.112,1003.811,1275.508,1399.38,1212.441,1116.41,731.555,381.285,264.994,127.056,0,0,0,0
scen1154,0,0,0,0,0,0,0,23.077,165.255,998.746,885.236,785.373,1595.455,1029.185,1371.558,1119.006,744.071,423.37,190.709,113.647,0,0,0,0
scen1155,0,0,0,0,0,0,0,19.598,137.151,670.488,869.277,712.766,1212.979,1000.92,855.885,981.137,738.778,451.532,204.228,132.913,0,0,0,0
scen1156,0,0,0,0,0,0,0.76,36.021,121.104,943.791,717.971,1007.357,944.086,1246.055,1029.156,1043.509,760.929,453.861,156.257,131.217,0,0,0,0
scen1157,0,0,0,0,0,0,0,24.095,64.972,603.82,1077.52,840.848,650.186,1182.263,1104.192,1086.926,829.532,430.294,194.484,136.693,0,0,0,0
scen1158,0,0,0,0,0,0,0.088,17.349,144.29,738.101,1264.179,1051.504,1251.275,1294.33,892.089,915.974,770.451,490.159,170.907,132.709,0,0,0,0
scen1159,0,0,0,0,0,0,0.366,39.881,0,878.103,1338.31,1319.974,876.99,1176.521,961.82,1023.724,763.223,459.669,177.324,128.718,0,0,0,0
scen1160,0,0,0,0,0,0,0,20.131,113.682,695.599,1023.47,936.649,1136.753,1120.93,830.91,818.334,836.561,395.753,186.795,133.836,0,0,0,0
scen1161,0,0,0,0,0,0,0.719,21.287,69.261,631.301,753.042,1412.387,1228.921,1088.073,1044.168,997.284,722.072,448.695,189.599,105.865,0,0,0,0
scen1162,0,0,0,0,0,0,0.582,32.052,138.006,586.49,739.655,1513.341,1384.329,1399.62,1110.322,848.263,793.743,479.391,205.209,131.59,0,0,0,0
scen1163,0,0,0,0,0,0,0.359,19.059,65.122,704.336,1117.404,752.428,936.755,1360.123,1196.832,1062.614,748.131,414.558,187.784,109.636,0,0,0,0
scen1164,0,0,0,0,0,0,0.445,15.268,91.89,701.003,954.891,924.383,1147.984,921.427,939.805,894.843,778.676,490.635,133.414,138.133,0,0,0,0
scen1165,0,0,0,0,0,0,0,1.237,103.828,721.015,810.452,959.597,766.008,847.455,1219.1,978.749,794.364,523.547,192.107,120.712,0,0,0,0
scen1166,0,0,0,0,0,0,0,27.604,89.536,639.618,954.238,1100.132,819.281,1237.616,1428.319,1010.15,668.301,478.406,182.122,161.255,0,0,0,0
scen1167,0,0,0,0,0,0,0,23.864,64.81,678.201,1172.199,1265.471,1394.971,1329.24,967.207,882.948,787.176,452.485,185.98,112.853,0,0,0,0
scen1168,0,0,0,0,0,0,0.357,18.95,84.744,734.613,654.274,1037.3,935.992,1046.685,930.059,908.092,702.479,416.133,183.129,110.143,0,0,0,0
scen1169,0,0,0,0,0,0,0.284,11.676,174.791,734.399,653.984,1294.226,1098.121,1365.877,1162.116,863.13,720.144,452.671,220.335,114.232,0,0,0,0
scen1170,0,0,0,0,0,0,0.046,18.242,68.874,559.044,862.99,750.593,1010.354,810.708,1201.73,1107.27,769.004,459.75,168.15,143.411,0,0,0,0
scen1171,0,0,0,0,0,0,0.719,8.279,95.99,789.528,936.789,1464.242,751.296,942.545,900.869,975.02,761.261,428.069,193.543,135.788,0,0,0,0
scen1172,0,0,0,0,0,0,0.299,29.928,148.294,670.026,1162.27,1530.981,982.236,884.687,1202.922,928.538,747.219,433.177,185.065,127.768,0,0,0,0
scen1173,0,0,0,0,0,0,0.327,12.49,131.228,858.436,1110.693,1153.848,1148.049,1095.8,1300.125,888.536,792.82,410.394,172.89,125.335,0,0,0,0
scen1174,0,0,0,0,0,0,0,28.429,156.843,669.331,1216.921,935.903,1428.116,1134.459,1197.393,951.826,746.394,469.683,175.214,121.361,0,0,0,0
scen1175,0,0,0,0,0,0,0,5.812,15.69,776.967,931.166,1068.346,1236.96,1311.464,1466.813,1113.188,813.07,444.325,222.578,143.715,0,0,0,0
scen1176,0,0,0,0,0,0,0,13.503,40.316,591.555,956.524,1045.867,657.62,1025.191,1240.228,851.255,745.083,473.569,173.859,126.896,0,0,0,0
scen1177,0,0,0,0,0,0,0,0,113.541,609.171,853.511,729.519,1094.188,1441.12,899.528,962.549,840.97,479.103,182.787,128.307,0,0,0,0
scen1178,0,0,0,0,0,0,0.287,21.103,201.351,719.667,1224.564,1093.827,1085.592,1199.682,1179.229,947.486,817.109,493.737,177.582,109.179,0,0,0,0
scen1179,0,0,0,0,0,0,0.522,38.828,140.543,486.817,529.181,1364.451,1166.445,691.108,1120.858,945.704,882.09,429.341,212.605,146.353,0,0,0,0
scen1180,0,0,0,0,0,0,0,6.112,188.767,865.267,1003.258,1545.6,1707.673,1741.882,1090.868,1145.825,692.296,428.818,199.652,116.988,0,0,0,0
scen1181,0,0,0,0,0,0,0,37.642,166.64,644.968,903.384,1205.372,1368.498,921.978,1199.635,956.374,820.386,436.019,208.903,123.807,0,0,0,0
scen1182,0,0,0,0,0,0,0.326,21.842,118.296,466.895,1188.308,1344.922,1308.077,1130.729,1003.485,990.177,703.31,441.846,180.49,108.925,0,0,0,0
scen1183,0,0,0,0,0,0,0,23.507,81.099,689.741,647.856,1051.8,1522.766,1143.45,1079.265,868.046,713.113,463.289,163.755,130.813,0,0,0,0
scen1184,0,0,0,0,0,0,0,18.709,108.129,653.4,865.748,843.354,1225.721,896.945,1290.368,919.024,710.879,488.22,178.866,103.254,0,0,0,0
scen1185,0,0,0,0,0,0,0,25.712,146.309,622.061,837.262,1083.294,1307.77,1049.894,1194.823,1080.111,729.702,387.304,190.6,98.32,0,0,0,0
scen1186,0,0,0,0,0,0,0,16.792,97.183,705.1,1042.703,790.603,963.535,1111.154,907.814,1005.332,809.076,430.471,187.691,142.937,0,0,0,0
scen1187,0,0,0,0,0,0,0.221,8.779,113.264,716.91,1517.324,1146.864,1261.636,1093.477,1235.24,907.16,789.733,429.016,196.289,129.184,0,0,0,0
scen1188,0,0,0,0,0,0,0,0,119.84,782.34,989.041,638.702,1311.711,1060.147,970.053,1031.225,666.503,505.61,174.997,106.302,0,0,0,0
scen1189,0,0,0,0,0,0,0,31.19,77.569,838.018,804.999,1084.154,900.333,1145.688,1293.44,1092.762,691.968,489.975,180.946,136.797,0,0,0,0
scen1190,0,0,0,0,0,0,0,5.981,0,777.853,822.691,856.195,1770.023,1190.69,1062.201,947.119,739.61,492.281,223.031,122.023,0,0,0,0
scen1191,0,0,0,0,0,0,1.222,13.357,31.236,735.434,873.296,970.029,624.4,1305.765,1095.768,1045.587,651.002,412.925,197.367,107.689,0,0,0,0
scen1192,0,0,0,0,0,0,1.333,31.534,152.818,654.624,1289.779,875.084,1054.822,1216.958,1415.102,931.576,725.186,455.071,167.184,128.096,0,0,0,0
scen1193,0,0,0,0,0,0,0.549,7.606,77.046,809.719,689.66,1176.99,1094.518,1252.071,1223.233,926.77,739.164,503.065,200.801,136.015,0,0,0,0
scen1194,0,0,0,0,0,0,0,17.727,71.034,659.532,861.168,1142.682,970.398,1064.8,954.424,865.083,803.877,494.963,225.631,141.366,0,0,0,0
scen1195,0,0,0,0,0,0,0,24.659,118.671,949.082,967.422,1428.282,1118.219,1384.064,1289.91,966.592,788.841,423.205,156.022,113.422,0,0,0,0
scen1196,0,0,0,0,0,0,0,28.047,90.286,469.86,863.394,241.198,598.683,917.094,668.307,974.24,515.079,408.265,171.12,135.527,0,0,0,0
scen1197,0,0,0,0,0,0,0,27.859,50.241,503.998,1019.717,748.571,960.903,1118.7,1122.604,956.91,742.614,440.41,173.728,112.847,0,0,0,0
scen1198,0,0,0,0,0,0,0.079,7.227,228.429,504.275,662.448,1055.277,1352.733,1470.096,923.197,1207.499,836.141,401.825,209.128,150.147,0,0,0,0
scen1199,0,0,0,0,0,0,0,21.444,132.202,663.363,1178.28,878.539,964.384,1042.167,1123.86,1044.716,787.41,462.272,185.456,108.816,0,0,0,0
scen1200,0,0,0,0,0,0,0.166,37.357,94.772,608.924,1022.984,1249.074,1128.375,1450.44,985.152,1014.657,672.093,452.328,167.85,110.172,0,0,0,0
scen1201,0,0,0,0,0,0,0.953,6.606,144.408,815.3,440.644,1254.114,1093.539,994.726,1100.419,1004.315,680.193,447.365,178.125,133.335,0,0,0,0
scen1202,0,0,0,0,0,0,0,21.304,147.282,741.681,983.605,888.466,981.575,908.799,1183.067,1121.134,737.396,481.586,181.67,123.345,0,0,0,0
scen1203,0,0,0,0,0,0,0,0.953,99.278,791.364,866.449,842.698,981.712,1233.492,1232.985,965.032,753.234,395.585,236.389,108.652,0,0,0,0
scen1204,0,0,0,0,0,0,0,48.748,135.85,553.013,844.233,1251.947,1361.807,1127.059,1388.034,1027.166,838.759,447.003,199.892,132.887,0,0,0,0
scen1205,0,0,0,0,0,0,0,15.158,111.807,632.566,1079.366,1150.696,850.962,1388.488,898.79,840.748,698.225,458.693,203.968,121.809,0,0,0,0
scen1206,0,0,0,0,0,0,0.661,8.412,179.371,576.89,640.119,858.463,1125.593,1139.111,953.629,950.959,789.628,497.149,182.795,104.474,0,0,0,0
scen1207,0,0,0,0,0,0,0.392,22.161,168.197,697.453,823.954,671.531,1279.682,1275.869,1330.287,1077.469,655.083,413.93,213.068,136.159,0,0,0,0
scen1208,0,0,0,0,0,0,1.258,13.823,120.395,643.697,775.656,1007.968,1098.751,1548.835,1032.534,1001.906,772.351,471.233,196.599,127.026,0,0,0,0
scen1209,0,0,0,0,0,0,0.661,0,137.679,561.185,937.766,837.988,1278.572,1087.5,1178.41,1256.813,740.291,439.896,202.763,120.168,0,0,0,0
scen1210,0,0,0,0,0,0,0,0,61.798,835.175,1293.614,769.904,982.617,1100.963,1159.769,916.816,833.789,420.381,208.144,147.358,0,0,0,0
scen1211,0,0,0,0,0,0,0.182,16.119,178.673,680.506,829.282,620.657,1142.618,1345.135,1203.862,746.326,702.368,440.522,166.659,123.348,0,0,0,0
scen1212,0,0,0,0,0,0,0,16.309,83.747,946.017,963.743,1272.64,1466.347,1031.813,1251.994,851.105,841.374,516.752,210.046,130.525,0,0,0,0
scen1213,0,0,0,0,0,0,0.501,17.662,171.46,398.06,1015.457,974.623,898.752,1254.586,1060.239,1078.484,592.081,504.83,216.005,103.767,0,0,0,0
scen1214,0,0,0,0,0,0,0,6.631,86.627,845.46,785.869,1243.823,750.932,1326.816,864.095,1128.519,847.944,394.405,197.054,132.94,0,0,0,0
scen1215,0,0,0,0,0,0,0.378,34.227,191.712,603.103,798.253,955.002,1134.408,705.53,1152.755,776.158,658.051,501.777,184.971,125.731,0,0,0,0
scen1216,0,0,0,0,0,0,0.222,36.423,60.727,825.645,713.687,786.189,816.361,1288.137,906.522,949.648,819.222,484.701,214.601,115.933,0,0,0,0
scen1217,0,0,0,0,0,0,0.913,13.55,206.372,890.667,909.334,1046.765,1007.514,1096.825,1055.435,764.553,726.286,423.16,200.378,133.856,0,0,0,0
scen1218,0,0,0,0,0,0,0,42.763,184.082,798.237,905.588,1089.671,1665.893,1502.299,1077.828,926.405,865.421,411.067,187.056,115.51,0,0,0,0
scen1219,0,0,0,0,0,0,0.635,16.546,171.593,661.784,978.929,1263.292,1044.652,1239.78,1212.089,924.297,755.543,464.449,124.44,123.227,0,0,0,0
scen1220,0,0,0,0,0,0,0,7.487,96.544,581.015,751.877,1361.819,920.997,1456.005,926.439,893.22,703.534,444.388,194.186,113.208,0,0,0,0
scen1221,0,0,0,0,0,0,0.845,0,65.087,855.908,1088.16,1226.585,1024.254,1138.808,1124.905,998.156,732.849,404.232,191.728,155.462,0,0,0,0
scen1222,0,0,0,0,0,0,0,9.864,135.462,800.091,1184.062,952.98,810.799,1083.302,927.6,837.457,720.094,488.682,188.399,126.718,0,0,0,0
scen1223,0,0,0,0,0,0,1.467,29.58,24.906,692.651,775.995,1374.648,917.626,1261.403,1437.882,1000.338,853.884,472.282,165.516,114.171,0,0,0,0
scen1224,0,0,0,0,0,0,0,23.466,94.621,966.903,989.037,1205.945,1386.601,1470.791,1039.255,1042.336,809.573,404.188,198.642,139.255,0,0,0,0
scen1225,0,0,0,0,0,0,0,38.188,85.683,662.275,912.566,1135.074,944.978,1462.997,1267.726,987.323,717.93,471.268,233.264,130.697,0,0,0,0
scen1226,0,0,0,0,0,0,0,12.111,99.742,519.664,1060.336,948.796,953.475,772.851,962.324,1055.607,760.229,458.374,235.643,153.795,0,0,0,0
scen1227,0,0,0,0,0,0,0.34,31.637,121.423,666.673,985.677,1262.625,1176.765,1515.268,1180.09,1038.349,756.173,502.892,183.861,122.158,0,0,0,0
scen1228,0,0,0,0,0,0,0,14.368,36.549,754.043,646.18,1040.31,841.488,1492.846,931.572,789.315,730.668,479.414,163.871,118.769,0,0,0,0
scen1229,0,0,0,0,0,0,0,47.684,133.274,749.024,965.872,1413.626,1126.44,1253.582,1331.945,1156.555,697.771,473.237,203.514,118.404,0,0,0,0
scen1230,0,0,0,0,0,0,0,14.978,22.464,704.717,843.003,1490.962,1285.182,866.754,1035.842,1009.373,831.816,419.455,205.624,133.748,0,0,0,0
scen1231,0,0,0,0,0,0,0,0,41.77,703.806,1009.577,849.198,1189.542,1352.277,1160.122,994.229,783.443,489.768,187.801,108.632,0,0,0,0
scen1232,0,0,0,0,0,0,0.385,6.293,140.377,788.105,1191.371,893.892,1448.164,1046.799,1026.739,1065.801,879.031,423.997,203.273,105.195,0,0,0,0
scen1233,0,0,0,0,0,0,1.867,21.461,116.163,640.61,954.047,590.467,1194.732,1576.296,1039.69,973.042,774.358,449.057,188.515,113.714,0,0,0,0
scen1234,0,0,0,0,0,0,0,41.233,199.49,766.873,976.59,1049.41,1138.215,1090.524,1122.117,1165.865,859.31,553.155,208.582,119.39,0,0,0,0
scen1235,0,0,0,0,0,0,0,15.784,62.318,382.42,1054.45,1080.924,1398.053,1419.794,1167.622,1009.798,865.006,405.721,170.817,121.178,0,0,0,0
scen1236,0,0,0,0,0,0,0,16.523,102.404,872.621,1136.633,1223.934,942.278,957.261,1235.701,890.467,755.963,490.29,186.401,137.679,0,0,0,0
scen1237,0,0,0,0,0,0,0.613,24.445,105.798,572.729,1335.096,1025.757,924.067,1330.66,1089.2,1193.791,776.465,512.335,177.528,128.456,0,0,0,0
scen1238,0,0,0,0,0,0,0.016,26.89,178.633,683.533,992.806,876.704,1167.437,605.341,1150.31,1035.728,695.77,403.598,170.837,114.057,0,0,0,0
scen1239,0,0,0,0,0,0,0,0,44.712,730.118,701.782,882.923,1367.139,948.349,1063.586,917.684,908.118,403.364,203.084,120.176,0,0,0,0
scen1240,0,0,0,0,0,0,0.101,36.397,98.093,911.49,970.647,982.676,960.072,1064.091,982.793,1044.648,765.127,451.749,222.536,154.724,0,0,0,0
scen1241,0,0,0,0,0,0,0.827,20.239,229.93,591.948,1408.695,1014.601,1259.391,1139.285,1367.316,892.063,641.869,399.416,188.396,106.235,0,0,0,0
scen1242,0,0,0,0,0,0,0,10.373,177.324,602.948,508.676,866.058,917.155,1421.133,1192.665,979.802,752.158,461.804,180.411,136.609,0,0,0,0
scen1243,0,0,0,0,0,0,0.066,30.422,212.435,607.744,878.085,983.976,1297.715,1271.187,1188.942,977.832,798.697,462.918,171.117,151.913,0,0,0,0
scen1244,0,0,0,0,0,0,0,12.367,118.429,754.829,1175.179,1124.194,1092.137,780.201,1002.424,896.847,714.25,405.532,177.906,133.374,0,0,0,0
scen1245,0,0,0,0,0,0,0.598,29.393,199.296,715.908,872.1,1099.433,1341.261,1035.568,971.575,1058.056,731.661,437.753,174.13,123.785,0,0,0,0
scen1246,0,0,0,0,0,0,0.246,32.404,242.263,834.898,492.691,855.541,1091.002,838.291,935.935,1063.561,765.961,501.574,168.869,119.976,0,0,0,0
scen1247,0,0,0,0,0,0,0.033,15.013,0,681.37,707.347,974.62,1056.024,976.096,1314.168,907.794,783.173,432.51,232.34,136.145,0,0,0,0
scen1248,0,0,0,0,0,0,0.346,27.931,88.34,688.911,1001.027,1485.881,1271.892,1150.973,626.732,929.127,719.326,489.546,213.359,134.382,0,0,0,0
scen1249,0,0,0,0,0,0,0,0,204.247,619.706,992.338,1047.85,1326.115,1367.111,969.528,1113.569,727.875,456.561,140.258,116.007,0,0,0,0
scen1250,0,0,0,0,0,0,0,30.872,81.756,826.168,860.384,1081.733,1243.832,934.831,1300.104,1004.291,651.837,467.56,168.011,110.911,0,0,0,0
scen1251,0,0,0,0,0,0,0.136,17.588,103.512,500.151,1184.464,1215.1,984.189,1138.673,1247.477,1098.732,731.348,465.448,148.358,118.386,0,0,0,0
scen1252,0,0,0,0,0,0,0,1.31,218.051,923.446,1330.29,997.726,900.871,1161.859,1257.968,1050.105,699.989,436.656,188.176,122.49,0,0,0,0
scen1253,0,0,0,0,0,0,0,25.244,117.409,725.611,1090.254,744.911,1442.196,1241.873,1127.291,794.515,668.132,415.434,158.696,129.241,0,0,0,0
scen1254,0,0,0,0,0,0,0.33,11.518,204.37,802.217,922.534,1221.014,563.752,1127.336,1119.438,918.159,739.98,480.832,179.195,136.854,0,0,0,0
scen1255,0,0,0,0,0,0,0.775,46.813,71.485,641.416,938.755,1176.757,1494.631,1070.801,964.647,785.8,695.357,506.751,206.759,124.425,0,0,0,0
scen1256,0,0,0,0,0,0,0.181,19.923,207.368,576.733,772.464,1025.196,1351.188,991.411,795.135,961.682,673.054,532.222,195.21,108.462,0,0,0,0
scen1257,0,0,0,0,0,0,0,19.146,116.017,538.936,806.164,627.233,949.656,1379.455,1120.776,983.276,685.197,499.269,163.459,129.735,0,0,0,0
scen1258,0,0,0,0,0,0,0,0,160.242,726.838,1200.26,1381.075,1499.562,1212.59,1419.737,978.744,730.694,456.688,169.548,101.117,0,0,0,0
scen1259,0,0,0,0,0,0,0.251,9.655,156.95,734.03,530.631,909.988,1481.971,897.585,1379.31,1128.993,719.888,555.816,157.59,112.276,0,0,0,0
scen1260,0,0,0,0,0,0,0,37.665,132.696,751.437,835.26,1460.917,984.189,1156.766,1164.479,885.148,762.662,449.489,167.761,129.035,0,0,0,0
scen1261,0,0,0,0,0,0,0,15.463,90.938,845.475,1245.992,1206.869,1043.304,1441.428,1201.777,925.547,669.761,462.191,161.996,101.778,0,0,0,0
scen1262,0,0,0,0,0,0,1.5,13.978,121.005,940.472,1299.98,1062.584,1273.662,900.402,1127.947,991.752,753.572,431.786,213.129,146.488,0,0,0,0
scen1263,0,0,0,0,0,0,0,19.714,87.641,485.935,1166.833,1460.576,869.969,1314.334,1014.455,1173.911,768.556,450.165,205.389,127.518,0,0,0,0
scen1264,0,0,0,0,0,0,0.425,12.334,210.708,607.405,852.382,759.876,1379.423,1358.316,1262.191,851.282,771.438,458.753,187.604,107.856,0,0,0,0
scen1265,0,0,0,0,0,0,0.228,0.34,60.967,682.959,1149.536,434.766,810.019,883.997,1322.299,981.335,734.113,471.944,174.159,119.105,0,0,0,0
scen1266,0,0,0,0,0,0,0.365,28.508,133.414,969.15,1129.913,1043.012,1296.008,1247.331,1147.645,964.823,722.124,478.258,193.702,135.634,0,0,0,0
scen1267,0,0,0,0,0,0,0,4.034,112.078,620.168,599.899,255.726,1087.767,1218.212,1172.111,920.005,861.175,470.418,184.583,121.962,0,0,0,0
scen1268,0,0,0,0,0,0,0.182,33.576,117.373,568.289,1122.082,931.322,1211.676,1255.383,913.499,858.982,718.468,449.448,191.29,117.888,0,0,0,0
scen1269,0,0,0,0,0,0,0.196,43.263,144.942,698.865,1016.075,903.305,801.891,1472.31,1274.342,985.982,801.609,475.773,178.995,116.446,0,0,0,0
scen1270,0,0,0,0,0,0,0.983,26.17,56.917,925.923,753.35,741.729,1132.982,959.153,1113.068,1050.967,732.767,451.557,186.403,142.204,0,0,0,0
scen1271,0,0,0,0,0,0,0,26.627,139.793,433.456,497.836,1186.226,1148.079,1323.566,1318.162,926.371,780.204,480.302,167.862,117.121,0,0,0,0
scen1272,0,0,0,0,0,0,0,42.881,16.706,784.696,1042.808,983.527,953.181,1463.073,1013.551,827.943,749.745,416.139,205.313,127.404,0,0,0,0
scen1273,0,0,0,0,0,0,0,22.77,69.425,753.649,1159.071,1401.864,1256.133,1109.931,1040.178,1080.083,774.068,498.142,162.364,113.662,0,0,0,0
scen1274,0,0,0,0,0,0,0,14.302,70.027,636.915,870.074,1121.873,1308.478,1155.378,920.878,992.216,838.726,480.982,215.897,122.906,0,0,0,0
scen1275,0,0,0,0,0,0,0,36.933,0,615.509,1295.062,532.751,1336.968,1303.553,1011.69,956.631,909.897,498.692,221.144,157.193,0,0,0,0
scen1276,0,0,0,0,0,0,0.327,39.222,123.372,876.202,1254.158,844.47,1136.066,1316.325,1259.293,932.347,681.004,493.577,175.235,109.74,0,0,0,0
scen1277,0,0,0,0,0,0,0.127,32.808,133.524,702.876,801.843,924.279,1387.909,1348.079,996.825,966.264,755.397,501.601,151.039,119.94,0,0,0,0
scen1278,0,0,0,0,0,0,0.752,0,112.872,742.991,773.425,1180.173,1141.605,1382.252,930.602,812.056,836.269,498.684,163.285,127.535,0,0,0,0
scen1279,0,0,0,0,0,0,0.736,24.99,67.559,588.084,779.454,1096.104,921.59,1328.359,1071.992,948.9,756.587,437.33,182.496,153.165,0,0,0,0
scen1280,0,0,0,0,0,0,1.194,6.897,192.315,495.967,974.23,1004.904,1257.51,1533.502,1129.807,711.066,855.73,445.922,202.007,131.609,0,0,0,0
scen1281,0,0,0,0,0,0,0,22.031,39.656,762.736,693.152,843.626,831.571,958.186,1115.75,1016.999,767.646,413.496,215.803,99.599,0,0,0,0
scen1282,0,0,0,0,0,0,0,8.475,259.699,595.336,1025.097,1044.758,1187.932,911.213,1374.279,876.814,735.963,518.575,156.893,129.012,0,0,0,0
scen1283,0,0,0,0,0,0,0,21.328,58.566,481.347,1262.112,1003.811,1275.508,1399.38,1212.441,1116.41,731.555,381.285,264.994,127.056,0,0,0,0
scen1284,0,0,0,0,0,0,0,23.077,165.255,998.746,885.236,785.373,1595.455,1029.185,1371.558,1119.006,744.071,423.37,190.709,113.647,0,0,0,0
scen1285,0,0,0,0,0,0,0,19.598,137.151,670.488,869.277,712.766,1212.979,1000.92,855.885,981.137,738.778,451.532,204.228,132.913,0,0,0,0
scen1286,0,0,0,0,0,0,0.76,36.021,121.104,943.791,717.971,1007.357,944.086,1246.055,1029.156,1043.509,760.929,453.861,156.257,131.217,0,0,0,0
scen1287,0,0,0,0,0,0,0,24.095,64.972,603.82,1077.52,840.848,650.186,1182.263,1104.192,1086.926,829.532,430.294,194.484,136.693,0,0,0,0
scen1288,0,0,0,0,0,0,0.088,17.349,144.29,738.101,1264.179,1051.504,1251.275,1294.33,892.089,915.974,770.451,490.159,170.907,132.709,0,0,0,0
scen1289,0,0,0,0,0,0,0.366,39.881,0,878.103,1338.31,1319.974,876.99,1176.521,961.82,1023.724,763.223,459.669,177.324,128.718,0,0,0,0
scen1290,0,0,0,0,0,0,0,20.131,113.682,695.599,1023.47,936.649,1136.753,1120.93,830.91,818.334,836.561,395.753,186.795,133.836,0,0,0,0
scen1291,0,0,0,0,0,0,0,16.656,67.505,734.009,733.959,868.175,1238.255,1098.878,739.806,765.687,791.819,457.671,154.864,128.793,0,0,0,0
scen1292,0,0,0,0,0,0,0.231,0,159.22,711.479,836.244,989.928,1029.105,1439.715,1239.262,790.966,799.966,437.666,185.062,122.339,0,0,0,0
scen1293,0,0,0,0,0,0,0,13.006,93.502,604.178,1171.903,991.973,1062.198,982.964,1095.107,906.876,709.898,482.272,215.227,144.113,0,0,0,0
scen1294,0,0,0,0,0,0,0.382,19.782,143.281,517.89,703.931,1320.366,900.523,1180.565,1030.263,1015.476,752.695,482.489,181.392,129.103,0,0,0,0
scen1295,0,0,0,0,0,0,0.049,35.841,32.131,723.313,818.757,1070.982,1042.965,932.717,1084.644,826.622,808.302,467.044,188.84,113.272,0,0,0,0
scen1296,0,0,0,0,0,0,0.184,17.055,142.834,787.572,1079.035,1621.421,1184.007,1301.627,1092.594,968.527,728.876,496.121,148.11,113.452,0,0,0,0
scen1297,0,0,0,0,0,0,0,0.015,112.302,835.471,975.258,1340.319,1066.18,1259.168,756.428,1032.28,910.411,410.178,200.935,114.709,0,0,0,0
scen1298,0,0,0,0,0,0,0,30.206,195.573,736.651,649.761,1093.519,1088.732,1324.413,1002.38,1093.959,700.74,443.987,161.566,141.95,0,0,0,0
scen1299,0,0,0,0,0,0,0.712,24.716,123.651,788.801,1432.796,1076.803,784.673,830.24,1289.839,1010.93,767.305,468.211,161.885,116.683,0,0,0,0
scen1300,0,0,0,0,0,0,0.425,47.83,64.732,705.295,1211.424,1254.406,1103.45,923.982,1158.503,1001.634,836.072,453.894,190.978,119.362,0,0,0,0
scen1301,0,0,0,0,0,0,0,14.954,71.533,765.379,663.754,1159.79,893.27,1241.467,1287.909,974.832,806.186,508.873,178.561,130.137,0,0,0,0
scen1302,0,0,0,0,0,0,0.247,28.041,99.793,950.004,861.727,849.802,1137.822,1462.283,1267.552,988.114,794.848,514.593,147.644,134.266,0,0,0,0
scen1303,0,0,0,0,0,0,0,24.765,95.801,511.573,1269.19,802.619,625.42,1465.782,987.425,975.331,730.288,440.216,158.854,129.29,0,0,0,0
scen1304,0,0,0,0,0,0,0,37.642,166.64,644.968,903.384,1205.372,1368.498,921.978,1199.635,956.374,820.386,436.019,208.903,123.807,0,0,0,0
scen1305,0,0,0,0,0,0,0,13.503,40.316,591.555,956.524,1045.867,657.62,1025.191,1240.228,851.255,745.083,473.569,173.859,126.896,0,0,0,0
scen1306,0,0,0,0,0,0,0,18.709,108.129,653.4,865.748,843.354,1225.721,896.945,1290.368,919.024,710.879,488.22,178.866,103.254,0,0,0,0
scen1307,0,0,0,0,0,0,1.333,31.534,152.818,654.624,1289.779,875.084,1054.822,1216.958,1415.102,931.576,725.186,455.071,167.184,128.096,0,0,0,0
scen1308,0,0,0,0,0,0,0,21.304,147.282,741.681,983.605,888.466,981.575,908.799,1183.067,1121.134,737.396,481.586,181.67,123.345,0,0,0,0
scen1309,0,0,0,0,0,0,0.327,12.49,131.228,858.436,1110.693,1153.848,1148.049,1095.8,1300.125,888.536,792.82,410.394,172.89,125.335,0,0,0,0
scen1310,0,0,0,0,0,0,1.222,13.357,31.236,735.434,873.296,970.029,624.4,1305.765,1095.768,1045.587,651.002,412.925,197.367,107.689,0,0,0,0
scen1311,0,0,0,0,0,0,0,24.659,118.671,949.082,967.422,1428.282,1118.219,1384.064,1289.91,966.592,788.841,423.205,156.022,113.422,0,0,0,0
scen1312,0,0,0,0,0,0,0.287,21.103,201.351,719.667,1224.564,1093.827,1085.592,1199.682,1179.229,947.486,817.109,493.737,177.582,109.179,0,0,0,0
scen1313,0,0,0,0,0,0,0,0.953,99.278,791.364,866.449,842.698,981.712,1233.492,1232.985,965.032,753.234,395.585,236.389,108.652,0,0,0,0
scen1314,0,0,0,0,0,0,0.719,8.279,95.99,789.528,936.789,1464.242,751.296,942.545,900.869,975.02,761.261,428.069,193.543,135.788,0,0,0,0
scen1315,0,0,0,0,0,0,0,25.712,146.309,622.061,837.262,1083.294,1307.77,1049.894,1194.823,1080.111,729.702,387.304,190.6,98.32,0,0,0,0
